Sample in Buffer,Sample in Window,TRIGGER,filter_i/v_out[24:0],rst_1
564,564,0,8388499,0
565,565,0,8388499,0
566,566,0,8388499,0
567,567,0,8388499,0
568,568,0,8388499,0
569,569,0,8388499,0
570,570,0,8388499,0
571,571,0,8388499,0
572,572,0,8388499,0
573,573,0,8388499,0
574,574,0,8388499,0
575,575,0,8388499,0
576,576,0,8388499,0
577,577,0,8388499,0
578,578,0,8388499,0
579,579,0,8388499,0
580,580,0,8388499,0
581,581,0,8388499,0
582,582,0,8388499,0
583,583,0,8388499,0
584,584,0,8388499,0
585,585,0,8388499,0
586,586,0,8388499,0
587,587,0,8388499,0
588,588,0,8388499,0
589,589,0,8388499,0
590,590,0,8388499,0
591,591,0,8388499,0
592,592,0,8388499,0
593,593,0,8388499,0
594,594,0,8388499,0
595,595,0,8388499,0
596,596,0,8388499,0
597,597,0,8388499,0
598,598,0,8388499,0
599,599,0,8388499,0
600,600,0,8388499,0
601,601,0,8388499,0
602,602,0,8388499,0
603,603,0,8388499,0
604,604,0,8388499,0
605,605,0,8388499,0
606,606,0,8388499,0
607,607,0,8388499,0
608,608,0,8388499,0
609,609,0,8388499,0
610,610,0,8388499,0
611,611,0,8388499,0
612,612,0,8388499,0
613,613,0,8388499,0
614,614,0,8388499,0
615,615,0,8388499,0
616,616,0,8388499,0
617,617,0,8388499,0
618,618,0,8388499,0
619,619,0,8388499,0
620,620,0,8388499,0
621,621,0,8388499,0
622,622,0,8388499,0
623,623,0,8388499,0
624,624,0,8388499,0
625,625,0,8388499,0
626,626,0,8388499,0
627,627,0,8388499,0
628,628,0,8388499,0
629,629,0,8388499,0
630,630,0,8388499,0
631,631,0,8388499,0
632,632,0,8388499,0
633,633,0,8388499,0
634,634,0,8388499,0
635,635,0,8388499,0
636,636,0,8388499,0
637,637,0,8388499,0
638,638,0,8388499,0
639,639,0,8388499,0
640,640,0,8388499,0
641,641,0,8388499,0
642,642,0,8388499,0
643,643,0,8388499,0
644,644,0,8388499,0
645,645,0,8388499,0
646,646,0,8388499,0
647,647,0,8388499,0
648,648,0,8388499,0
649,649,0,8388499,0
650,650,0,8388499,0
651,651,0,8388499,0
652,652,0,8388499,0
653,653,0,8388499,0
654,654,0,8388499,0
655,655,0,8388499,0
656,656,0,8388499,0
657,657,0,8388499,0
658,658,0,8388499,0
659,659,0,8388499,0
660,660,0,8388499,0
661,661,0,8388499,0
662,662,0,8388499,0
663,663,0,8388499,0
664,664,0,8388499,0
665,665,0,8388499,0
666,666,0,8388499,0
667,667,0,8388499,0
668,668,0,8388499,0
669,669,0,8388499,0
670,670,0,8388499,0
671,671,0,8388499,0
672,672,0,8388499,0
673,673,0,8388499,0
674,674,0,8388499,0
675,675,0,8388499,0
676,676,0,8388499,0
677,677,0,8388499,0
678,678,0,8388499,0
679,679,0,8388499,0
680,680,0,8388499,0
681,681,0,8388499,0
682,682,0,8388499,0
683,683,0,8388499,0
684,684,0,8388499,0
685,685,0,8388499,0
686,686,0,8388499,0
687,687,0,8388499,0
688,688,0,8388499,0
689,689,0,8388499,0
690,690,0,8388499,0
691,691,0,8388499,0
692,692,0,8388499,0
693,693,0,8388499,0
694,694,0,8388499,0
695,695,0,8388499,0
696,696,0,8388499,0
697,697,0,8388499,0
698,698,0,8388499,0
699,699,0,8388499,0
700,700,0,8388499,0
701,701,0,8388499,0
702,702,0,8388499,0
